admin1,Jan_rain_min,Jan_rain_max,Jan_rain_mean,Jan_rain_count,Jan_rain_median,year,Feb_rain_min,Feb_rain_max,Feb_rain_mean,Feb_rain_median,Mar_rain_min,Mar_rain_max,Mar_rain_mean,Mar_rain_median,Apr_rain_min,Apr_rain_max,Apr_rain_mean,Apr_rain_median,May_rain_min,May_rain_max,May_rain_mean,May_rain_median,Jun_rain_min,Jun_rain_max,Jun_rain_mean,Jun_rain_median,Jul_rain_min,Jul_rain_max,Jul_rain_mean,Jul_rain_median,Aug_rain_min,Aug_rain_max,Aug_rain_mean,Aug_rain_median,Sep_rain_min,Sep_rain_max,Sep_rain_mean,Sep_rain_median,Oct_rain_min,Oct_rain_max,Oct_rain_mean,Oct_rain_median,Nov_rain_min,Nov_rain_max,Nov_rain_mean,Nov_rain_median,Dec_rain_min,Dec_rain_max,Dec_rain_mean,Dec_rain_median,silt_min,silt_max,silt_mean,silt_count,silt_median,bulkdensity_min,bulkdensity_max,bulkdensity_mean,bulkdensity_median,clay_min,clay_max,clay_mean,clay_median,harvested_area,production_mt,yield_mt_ha,value_ksh
Migori,30.65277481,93.72303772,60.92394054,139,57.59214783,2013,23.72453308,52.59511566,39.42424966,40.17868805,117.6373215,220.6418762,175.1702732,177.7861786,197.1099548,374.9779663,302.043587,303.1523438,85.05335999,192.1686707,142.335797,144.5844879,29.76132965,92.08828735,59.01506295,57.89138031,16.50177765,62.80000305,36.16852377,35.07938004,18.98569489,123.4013062,64.02940929,59.60702515,36.2689476,168.5018158,106.3294037,104.1398315,41.4593277,143.2943268,82.14125731,75.66407776,99.5466156,219.6255341,146.2043475,148.2680664,51.93862152,157.263916,97.39717289,98.58337402,12,43,24.56447311,36744,25,1050,1420,1248.785325,1250,19,56,35.38237535,35,,,,
Mombasa,7.953626633,12.35571384,10.58604758,14,10.82392311,2013,4.427241802,7.479691505,5.326314654,4.991692543,174.7605286,246.4095459,201.7978516,195.0491028,102.1374207,192.0383148,145.7559727,135.5673218,322.3205261,441.3120728,380.0833217,376.7081299,68.2011261,95.35169983,79.59150042,77.420578,43.02483368,63.43490219,51.43448312,49.42934799,39.94451523,194.7546844,106.1370239,94.85650635,72.63512421,113.0719147,88.70268903,91.03678894,110.9848557,173.061554,128.1180507,124.9384003,89.64180756,151.8773651,114.4551915,113.8406677,48.70378876,103.0675888,78.78703962,84.01202393,10,28,19.86055046,3270,20,1230,1520,1381.538226,1390,15,40,27.44342508,28,,,,
Murang'a,29.30887985,86.5692215,51.01821289,110,49.3093338,2013,5.315583229,50.2900238,13.03311324,11.25960064,127.3519058,363.5428467,177.8339134,171.3172302,284.2515564,997.1470337,537.9693892,531.1726074,33.11233521,166.8592834,81.95005327,79.5646286,7.040481091,134.0585938,38.27108487,32.82227707,5.466930389,69.54078674,25.90552646,21.23628426,8.979787827,94.11400604,33.69509943,27.45562553,13.17846489,71.98522949,38.84237393,38.89468002,20.79871941,117.2035522,50.75605913,48.04499435,110.1473541,330.4997559,167.9689808,160.6645813,79.31378174,198.5800018,125.5272372,126.4800034,11,57,24.01737076,35980,24,655,1460,1110.816231,1120,23,73,47.12445803,48,,,,
Nairobi,31.05590439,58.62546539,39.08650818,40,38.75224304,2013,8.325801849,14.54591084,11.38193054,11.54837418,110.0148315,192.6246643,158.331604,158.93396,202.8949738,432.527832,325.7633301,321.2790527,24.43809128,52.29308701,38.09477539,37.41088104,7.905072212,46.70398712,23.91624908,24.19239426,1.492624164,14.96567726,7.327391052,7.682458401,4.164746284,53.89099121,24.34629822,22.26453018,16.72810173,39.53707886,28.19810791,27.93844223,14.65314579,29.82342911,20.96762543,21.13982582,82.42147064,131.4505005,99.87045288,98.85211182,79.18744659,217.3647919,143.0483887,140.0061035,15,31,22.96068725,10302,23,989,1430,1247.958552,1260,25,61,42.15074743,42,,,,
Nandi,45.32205582,108.0684433,72.51266549,131,74.06708527,2013,18.2199955,71.57171631,33.6414301,31.22803879,147.0082703,355.4860229,228.2684578,229.5669098,218.4197998,393.7898865,302.046219,297.1188049,110.9237518,221.5587463,165.7670563,164.8956451,73.84315491,182.8407898,130.1334089,132.5173035,55.05368805,191.1767883,134.2673992,138.2828369,120.7052765,293.4931335,220.30427,233.1172333,137.0584564,326.8406067,216.7333463,207.5953827,77.11977386,219.8913727,144.0863401,143.6148376,49.0330658,194.3312988,120.9753399,124.1525269,44.87967682,170.4881592,111.7719615,110.3052444,15,33,25.46049221,40511,26,892,1320,1135.68374,1130,24,51,40.80657105,41,,,,
Narok,24.8471489,108.9948425,55.2560698,659,49.58471298,2013,17.87990761,119.5239258,38.23902812,32.16134644,102.2313385,292.9263306,171.098006,169.5866394,223.1688385,526.0036621,339.2109731,329.2318726,11.67624855,199.2711029,65.87601361,55.19480133,1.761261702,133.7380524,57.89141929,57.18865967,0.11236047,192.2946167,35.87640779,25.61017418,3.89E-10,206.2948456,68.10796425,64.65067291,0.000364589,170.0740662,67.0934062,63.89326477,1.01611805,115.2367325,37.41238501,30.25813675,36.95148849,165.6030273,81.81753248,77.09990692,90.59655762,175.2336121,130.3339814,130.6585083,13,48,28.763124,250000,29,866,1520,1214.57664,1230,19,53,33.066012,33,,,,
Nyamira,58.72490311,82.18642426,69.37662937,46,69.33157349,2013,40.69507217,81.68016052,65.81648586,66.59555054,182.9460449,296.1057129,218.0064538,217.2256165,255.4603119,473.9768066,379.7283033,384.8640747,100.247139,170.8945618,144.612241,150.7325439,79.88365936,131.5992737,106.0266856,108.6544189,57.4810791,93.5994339,78.10440196,80.61991882,100.6660309,176.7449341,129.0865638,122.6171875,103.1447601,191.4222565,144.5166228,143.302475,68.49655151,169.6017761,121.3572202,127.6998215,108.5224457,233.7334595,165.8309273,168.5040894,101.5666962,136.7757721,119.4539423,119.574234,16,44,25.17182555,12955,25,487,1350,1107.933771,1100,30,51,41.25171748,41,,,,
Nyandarua,28.64025116,86.5692215,50.49386161,147,48.06156921,2013,6.619455338,50.2900238,17.05376076,16.15154648,56.42252731,363.5428467,126.9784758,116.530899,176.3135681,997.1470337,356.627923,313.5995178,38.56558609,164.8356934,98.48735119,102.6024094,29.68813515,160.2740021,106.0419656,113.7787399,5.836040974,267.6291199,111.8090056,104.2914276,24.90835762,242.8766785,114.636639,105.1114349,18.16607094,120.9690552,71.20685852,68.09087372,7.758183479,147.5581512,80.12971673,78.01954651,55.26301193,330.4997559,112.6263552,102.5197144,37.26305008,198.5800018,106.887124,106.4270477,17,51,30.6110968,46572,30,771,1320,1131.15417,1140,23,52,38.05960663,38,,,,
Nyeri,19.25416946,86.67908478,57.41523711,143,56.33372498,2013,6.6325984,33.11724854,18.38810164,17.39210129,60.26326752,241.6679382,126.1072716,118.2047043,158.6311951,675.0831909,368.3267592,367.3227844,20.74735641,141.1767426,88.82901278,86.42916107,21.28111839,142.9383545,60.98124727,55.23949814,16.45253372,158.1963959,61.47029338,55.30130768,13.47059822,156.8643646,68.78697279,65.67958069,26.35480881,127.2746429,52.04774571,47.5173378,41.0695076,151.590332,77.10701213,67.01379395,81.66621399,272.1159668,149.9048842,145.5393829,27.25139999,148.7425537,101.6097438,102.8035889,17,39,26.39762461,47487,26,729,1370,1111.136353,1120,24,59,39.75397477,39,,,,
Samburu,2.955287218,53.37650299,17.58249995,773,16.79334259,2013,0.416930228,18.18807411,5.944485012,5.064418793,55.34168243,283.139801,127.4856788,118.5012665,54.6177063,370.9350281,184.5607212,184.5573273,0.484092921,75.58126068,20.73618663,16.490942,1.11E-08,118.8844757,23.71007843,17.35758591,0,107.1362915,23.94860729,16.66404724,0,126.980545,18.91393869,10.37740231,4.79E-08,61.962883,10.36565001,5.398020267,6.66E-08,133.5588837,39.41520961,32.56121826,1.11683476,181.8490143,80.9991763,81.71933746,15.82511806,104.3886414,46.05861902,42.7360611,11,34,20.82062537,296179,20,902,1550,1326.963384,1350,15,47,27.94953052,27,,,,
