Date	PostType	Content	Image	Like	Retweet	Reply	
2022-11-25T19:10:25.000Z	image	"Tvet works and will deliver for the needs of Nairobians ,and people of Kenya.    @kttc_kenya  "	https://pbs.twimg.com/media/FibpbF1XwAA36T6?format=jpg&name=900x900			5	
2022-11-25T18:39:18.000Z	image	"Tvet works and will deliver for the needs of Nairobians ,and people of Kenya.?? ?? ?? ?? ??@kttc_kenya?"	https://pbs.twimg.com/media/FibiTHZWYAMrOTw?format=jpg&name=900x900	24	7	2	
2022-11-23T16:37:44.000Z	image	We in Tvet are elated by this dev . We are upto the task and we will deliver ?? ?? ? ?? ?@kttc_kenya? ?	https://pbs.twimg.com/media/FiQzSm5WAAMqeZS?format=jpg&name=small	62	19	5	
2022-11-17T18:36:26.000Z	text	"Visit kttc portal, application is free"				1	
2022-11-17T17:42:58.000Z	text			4			
2022-11-17T07:43:37.000Z	image	"3 golds 1 silver medals won by Allan Tarno at secondary school world scholars competition at The Yale university-USA.yesterday.
Congratulations Allan and glory to God .?? ?? ?? ?? ??"	https://pbs.twimg.com/media/Fhv_gVSXoAAUBfr?format=jpg&name=900x900		107	59	
2022-10-18T10:57:57.000Z	text	"To Kenyan youth Tvet is the way to Go says His Excellency  “Riggy G “ 

"				8	
2022-10-17T15:23:57.000Z	text	"The youth have the energy, the risk taking propensity and creativity to cope with new challenges. Let’s continue to give them opportunities and space to operate. Thanks RIGGY G ."		27	1	1	
2022-10-17T15:19:27.000Z	image	I visited Comboni Polytechic in Gilgil today. Creative art is amazing in this college . Tvet works . Thanks ?? for your support to them ?? ?? ?? ?? ?@kttc_kenya?	"https://pbs.twimg.com/media/FfR-iBPWAAEFTUU?format=jpg&name=360x360,https://pbs.twimg.com/media/FfR-ikJWIAI1Ypk?format=jpg&name=360x360,https://pbs.twimg.com/media/FfR-jB6XwAAm--S?format=jpg&name=360x360,https://pbs.twimg.com/media/FfR-jdZWQAE_XKR?format=jpg&name=360x360"		15	10	
2022-10-16T17:03:58.000Z	text	???????				1	
2022-10-14T15:38:01.000Z	image	Humor on the streets . take note  ??????	https://pbs.twimg.com/media/FfCmB73WAAUwZJy?format=jpg&name=small		14	6	
2022-10-13T15:17:36.000Z	text	Cbet for Kenya ????		3	1		
2022-10-08T19:14:14.000Z	text	"I Served under his leadership at RVTTI as my Mp . Very humble , humorous and hands on . May the almighty God  rest him in peace and solace and grace be with his family and friends."		35	3	2	
2022-10-05T12:51:16.000Z	image	Capacity building of Deans of students from Kenya MoE Tvets went well for two weeks now in Nyeri and Meru Polytechics .  A job well done by  and ??? ??	"https://pbs.twimg.com/media/FeTpiJTXkAME15e?format=jpg&name=360x360,https://pbs.twimg.com/media/FeTpixSWQAICUNv?format=jpg&name=360x360,https://pbs.twimg.com/media/FeTpjJ4XEAAl4ml?format=jpg&name=360x360,https://pbs.twimg.com/media/FeTpjwSXwAIs-jM?format=jpg&name=360x360"	42	8	2	
2022-10-02T09:09:20.000Z	text	They should also go to Eldoret		4	1	1	
2022-10-01T19:03:31.000Z	text	Ghana’s thinking about Education!		32	11	2	
2022-09-28T13:36:05.000Z	text	Application is online through kttc portal and it’s free of charge. Next intake is in January 2023.					
2022-09-25T19:34:08.000Z	text	Tvet works !!!		9			
2022-09-25T18:48:51.000Z	text	Yes  congratulations .Tvet works .		3			
2022-09-25T18:35:27.000Z	text	"Review of courses is critically fundamental in meeting new societal needs and embracing new technologies in Education.????
???????@kttc_kenya?

"		12	2	1	
2022-09-24T17:52:26.000Z	text	Thank you  I’m proud to have taken part in restoration of this car few years ago . See you tomorrow 		12		1	
2022-09-16T14:06:43.000Z	image	Young people are brilliant- they just need support. ?? ?@kttc_kenya? ?? ??	https://pbs.twimg.com/media/FcyEnsqWAAI70VS?format=jpg&name=small	25	2	2	
2022-09-09T19:36:17.000Z	text	Education is the key to develop the youth BUT Tvet is the master key to youth empowerment and employment.		3	1		
2022-09-02T23:15:23.000Z	text	Shadrack thanks so much for your appreciation. you also transformed us to be better administrators and Tvet trainers . Keep going and God bless		17	2		
2022-08-31T15:03:07.000Z	text	   				1	
2022-08-31T15:01:40.000Z	image	"“Heritage Tvet education is critical,it not only preserves history also but keeps traditional Tvet practices and products relevant to evolving needs of local communities.Heritage educ should also be treated as a dynamic component “ Ps Min edu KENYA Dr Mwakima says in ATUPA 2022"	https://pbs.twimg.com/media/Fbf3v7ZXEAEON6U?format=jpg&name=small	21	7	2	
2022-08-31T11:40:45.000Z	text	      		5			
2022-08-31T11:26:28.000Z	text	"“Education is not a ritual, education is useless if it adds no value to human dignity. There are many topics and subjects in our curricula that do not serve our needs -change them ! “
Prof Amon Murwira Zimbabwe Education minister says At commonwealth Tvet conference today"		38	19	4	
2022-08-30T20:41:16.000Z	video	Climate change- join the knowledge seekers. !	https://pbs.twimg.com/ext_tw_video_thumb/1564713850804600832/pu/img/abZnIZ4b_HMqfylv.jpg	17	5		
2022-08-26T18:57:38.000Z	text	"@hero_nairobi you are always amazing. - Speed , service, elegance order and organization even at full house . This why public sector has a lot to learn from the private sector ."		20	2	1	
2022-08-10T03:55:43.000Z	text	"“If my people, who are called by my name, will humble themselves and pray and seek my face and turn from their wicked ways, then I will hear from heaven, and I will forgive their sin and will heal their land.”
2 chronicles 7:14"			9	1	
2022-08-09T06:56:04.000Z	video	??  ?????	https://pbs.twimg.com/ext_tw_video_thumb/1556897041548296193/pu/img/H73PYoBxdG1aU3Xl.jpg	12	3	5	
2022-08-04T15:07:20.000Z	text	"“Mutiso Menezes international “
That was the name of his company 
This Man is a genius. You need to visit kttc and Unep to see his marvelous ability."					
2022-08-02T18:26:31.000Z	text	Yes apply online using kttc portal				1	
2022-08-02T18:16:59.000Z	image	Today Kttc opened another  4days training for 176 deputy Principals Of MoE Tvets in finance mgt and Govenance .To enhance better governance and  contribute to their CPD .?? ?? ?? ?? ??	"https://pbs.twimg.com/media/FZLOVNwXkAAR7LR?format=jpg&name=360x360,https://pbs.twimg.com/media/FZLOV46XEAIXexQ?format=jpg&name=360x360,https://pbs.twimg.com/media/FZLOWa1XkAEOAV5?format=jpg&name=360x360,https://pbs.twimg.com/media/FZLOW8IXgAEHiW5?format=jpg&name=360x360"		10	2	
2022-07-13T18:38:46.000Z	image		"https://pbs.twimg.com/media/FXkTis8WAAAPFOf?format=jpg&name=small,https://pbs.twimg.com/media/FXkTjOBWIAAc1PG?format=jpg&name=small"	13	2		
2022-07-13T17:45:12.000Z	image	Nairobi city’s full moon . What a good view .	"https://pbs.twimg.com/media/FXkHR-OXgAEwHdW?format=jpg&name=small,https://pbs.twimg.com/media/FXkHSh2WYAITT39?format=jpg&name=small"	24	1	1	
2022-07-10T05:56:00.000Z	text	It’s shocking that Some countries are still primitive and insensitive in this century . This is one of them .					
2022-06-26T15:28:42.000Z	image	Tvet !	https://pbs.twimg.com/media/FWMFBCyXwAExRiw?format=jpg&name=small	98	18	3	
2022-06-22T17:59:01.000Z	image	"“Hard skills gives you the job but soft skills keeps you in your job “
Massage from Directors of HRM Mr Mosiori and Tvet Mr Mulati to Tvet principals during training at kttc today."	"https://pbs.twimg.com/media/FV4BCeaX0AAmuUO?format=jpg&name=360x360,https://pbs.twimg.com/media/FV4BC_-XgAAIGml?format=jpg&name=360x360,https://pbs.twimg.com/media/FV4BDeGXoAAubSj?format=jpg&name=360x360,https://pbs.twimg.com/media/FV4BD5EWQAIDpMI?format=jpg&name=360x360"			2	
2022-06-17T10:38:46.000Z	image	"I was Privileged  to meet Tvet Gurus who worked with me in the past  ,Prof Shyamal  and Jeff  Brazil"	"https://pbs.twimg.com/media/FVcsV-rXsAAm888?format=jpg&name=360x360,https://pbs.twimg.com/media/FVcsV-qWAAEwOo3?format=jpg&name=360x360,https://pbs.twimg.com/media/FVcsV-qWYAAQeMk?format=jpg&name=360x360,https://pbs.twimg.com/media/FVcsWBiWAAM4ChV?format=jpg&name=360x360"	33		1	
2022-06-17T10:34:35.000Z	image	"I was Privileged  to meet Tvet Gurus who worked with me in the past ?? ,Prof Shyamal ?? and Jeff ?? Brazil"	"https://pbs.twimg.com/media/FVcrWAeWQAA5GYU?format=jpg&name=360x360,https://pbs.twimg.com/media/FVcrWpHWYAEap4-?format=jpg&name=360x360,https://pbs.twimg.com/media/FVcrXbHWYAAY_4a?format=jpg&name=360x360,https://pbs.twimg.com/media/FVcrYiXXEAEgm4W?format=jpg&name=360x360"	25	5	2	
2022-06-16T09:24:22.000Z	image	World federation of colleges and Polytechnics (WFCP) says - “The future of TVET is Now “	"https://pbs.twimg.com/media/FVXRpOSXsAANiT7?format=jpg&name=360x360,https://pbs.twimg.com/media/FVXRrIDXEAEwxPU?format=jpg&name=360x360,https://pbs.twimg.com/media/FVXRscmXsAMq-Yz?format=jpg&name=360x360,https://pbs.twimg.com/media/FVXRtfgWAAYWmH2?format=jpg&name=360x360"			3	
2022-06-10T08:34:34.000Z	image	Today we hosted  groups from Germany and Finland where discussed how to collaborate on training Tvet teachers on dual Tvet system in Kenya.	"https://pbs.twimg.com/media/FU4MyAdXsAE67RL?format=jpg&name=small,https://pbs.twimg.com/media/FU4MylpWUAE_vwc?format=jpg&name=small"	40	9	5	
2022-06-05T07:52:59.000Z	text	"Then Peter said, “Silver and gold have I none; but such as I have give I thee: In the name of Jesus Christ of Nazareth rise up and walk.” And he took him by the right hand, and lifted him up: and immediately his feet and ancle bones received strength. 
Acts 3:6"		23	6	2	
2022-06-01T16:33:38.000Z	text	     		3	1		
2022-06-01T13:40:33.000Z	image	The green city in the sun -Nairobi. Let’s strive to keep it green in all other aspects too .!	"https://pbs.twimg.com/media/FUK8gvAWAAY_xSb?format=jpg&name=small,https://pbs.twimg.com/media/FUK8hPRWYAQwo-q?format=jpg&name=small"	29	5	4	
2022-04-29T16:39:00.000Z	text	Welcome		1			
2022-04-29T16:16:33.000Z	image	"I was privileged today to chair and be a panelist in the African Tvets forum at the Arusha conference center Tanzania. Top EAC Educ ,Ps and policyholders attended."	"https://pbs.twimg.com/media/FRhjtXcXsAI66SU?format=jpg&name=360x360,https://pbs.twimg.com/media/FRhjvfiXsAEPyEM?format=jpg&name=small"			8	
2022-04-28T05:09:41.000Z	text	Very critical training as we embrace Cbet  @kttc_kenya and in Kenya.This will be followed by nationwide training through kttc   		6	3		
2022-04-26T08:52:09.000Z	text	"Diploma in a Tvet course, or HND or Degree in a Tvet course. Visit "		1			
2022-04-22T15:15:26.000Z	text	"He was Very diligent ,facts based decision maker  and results oriented. He introduced performance targets for civil servants and rewarded successful ones .I will miss him dearly. Rest in peace Mzee President Mwai Kibaki."		4			
2022-04-22T11:50:52.000Z	text	This will strengthen M&E and quality assurance at the kttc thank you  .		6	1		
2022-04-17T16:03:57.000Z	text	??		19	2	3	
2022-04-17T08:28:33.000Z	text	"For those feeling intimidated :-
“For this reason I remind you to fan into flame the gift of God, which is in you through the laying on of my hands. For the Spirit God gave us does not make us timid, but gives us power, love and self-discipline”
2nd Timothy 1:7"		20	3	2	
2022-04-15T18:56:14.000Z	text	??????		1		1	
2022-03-31T09:17:27.000Z	image	Tvets should make their institutions “conducive to All and inclusive to All “	https://pbs.twimg.com/media/FPKtsvaX0AcHKjx?format=jpg&name=small		13	2	
2022-03-30T09:40:02.000Z	text	Very impressive new thinking on this topic was discussed. A lot to learn and need to act .		1			
2022-03-26T08:37:03.000Z	image	We are upto the task Kenyan team !	https://pbs.twimg.com/media/FOw0iBIXEAMVrtS?format=jpg&name=small	33	5	1	
2022-03-25T17:04:15.000Z	image	Tacked in the hills of mai mahiu in Kenya is a Catholic Church built in 1947 by Italian prisoners of war. History and Tourism meet here !	"https://pbs.twimg.com/media/FOtfBQJXEAUJyuL?format=jpg&name=small,https://pbs.twimg.com/media/FOtfB7NXwAslNYH?format=jpg&name=small"	17	2		
2022-03-25T16:56:08.000Z	image	Tvet Innovations are quite amazing at Nairobi tvet fairs in Narok.	"https://pbs.twimg.com/media/FOtdK2hXIAEyAMn?format=jpg&name=360x360,https://pbs.twimg.com/media/FOtdK2jWQAoi6e8?format=jpg&name=360x360,https://pbs.twimg.com/media/FOtdK2iX0BEIS8s?format=jpg&name=360x360,https://pbs.twimg.com/media/FOtdK3xWUAciAYI?format=jpg&name=360x360"	23	6		
2022-03-23T17:34:34.000Z	text	Brilliant business venture!		1		1	
2022-03-20T07:48:13.000Z	text	"“If you keep my commands, you will remain in my love, just as I have kept my Father’s commands and remain in his love.I have told you this so that my joy may be in you and that your joy may be complete. My command is this: Love each other as I have loved you.”
John 15:10"		20	3	1	
2022-03-16T13:36:35.000Z	image	Thank you people of Mwea for feeding Kenyans !	"https://pbs.twimg.com/media/FN-ZK0cWYAMImsP?format=jpg&name=360x360,https://pbs.twimg.com/media/FN-ZLd2XoAM9143?format=jpg&name=360x360,https://pbs.twimg.com/media/FN-ZL-kWQAEPShD?format=jpg&name=360x360,https://pbs.twimg.com/media/FN-ZMblXEAYmG4r?format=jpg&name=360x360"	58	11		
2022-03-13T05:59:53.000Z	text	"“Evildoers do not understand what is right,
    but those who seek the Lord understand it fully.”
Proverbs 28:5"		28	2	2	
2022-03-07T15:51:07.000Z	text	"“Surely God is my salvation; I will trust and not be afraid. The LORD, the LORD himself, is my strength and my defense ; he has become my salvation.” 
Isaiah 12.2"			4	1	
2022-03-06T14:48:29.000Z	text	Thank you so much. I wish you could get us an English version for us to follow you better.		1			
2022-02-28T10:17:09.000Z	text	Kttc is proud to host THIS  is TVET HUB			1	2	
2022-02-27T17:48:12.000Z	text	"“Make every effort to live in peace with everyone and to be holy;without holiness no one will see the Lord.See to it that no one falls short of the grace of God and that no bitter root grows up to cause trouble and defile many”
Hebrews 12:14"		19	3	1	
